R	53.3334	-6.40628	A225	07 Feb 2025	A225\n17:25 - Cork to Dublin Heuston (19 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A227	07 Feb 2025	A227\n18:25 - Cork to Dublin Heuston (4 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A229	07 Feb 2025	A229\n19:25 - Cork to Dublin Heuston (8 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A231	07 Feb 2025	A231\n20:25 - Cork to Dublin Heuston (39 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P217	07 Feb 2025	P217\n13:25 - Portlaoise to Dublin Heuston (8 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3347	-6.22979	E234	07 Feb 2025	E234\n14:04 - Malahide to Bray (0 mins late)\nArrived Lansdowne Road next stop Sandymount	Southbound
R	53.3347	-6.22979	E825	07 Feb 2025	E825\n14:05 - Bray to Malahide (0 mins late)\nDeparted Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3353	-6.45233	P411	07 Feb 2025	P411\n14:35 - Hazelhatch to Grand Canal Dock (2 mins late)\nArrived Adamstown next stop Kishoge	Northbound
R	53.3395	-7.61596	A717	07 Feb 2025	A717\n13:05 - Galway to Dublin Heuston (2 mins late)\nDeparted Clara next stop Tullamore	To Dublin Heuston
R	53.3531	-6.24591	E235	07 Feb 2025	E235\n14:15 - Howth to Bray (-1 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3531	-6.24591	E927	07 Feb 2025	E927\n13:55 - Bray to Howth (-1 mins late)\nArrived Dublin Connolly next stop Clontarf Road	Northbound
R	53.3629	-6.22753	P709	07 Feb 2025	P709\n13:43 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.373	-6.20442	E824	07 Feb 2025	E824\n13:31 - Greystones to Malahide (0 mins late)\nDeparted Killester next stop Harmonstown	Northbound
R	53.3752	-6.31388	P660	07 Feb 2025	P660\n14:09 - Maynooth to Grand Canal Dock (0 mins late)\nDeparted Pelletstown next stop Broombridge	Southbound
R	53.378	-6.58993	P661	07 Feb 2025	P661\n14:39 - Maynooth to Grand Canal Dock (0 mins late)\nDeparted Maynooth next stop Leixlip (Louisa Bridge)	Southbound
R	53.3786	-6.19131	E118	07 Feb 2025	E118\n14:24 - Malahide to Greystones (0 mins late)\nArrived Harmonstown next stop Killester	Southbound
R	53.3816	-6.37149	D918	07 Feb 2025	D918\n14:17 - Dublin Connolly to Maynooth (4 mins late)\nArrived Castleknock next stop Coolmine	Northbound
R	53.3909	-6.15672	D819	07 Feb 2025	D819\n14:19 - Grand Canal Dock to Drogheda (1 mins late)\nDeparted Howth Junction next stop Malahide	To Drogheda
R	53.3917	-6.13678	E236	07 Feb 2025	E236\n14:35 - Howth to Bray (0 mins late)\nArrived Bayside next stop Howth Junction	Southbound
R	53.3917	-6.13678	E926	07 Feb 2025	E926\n13:35 - Bray to Howth (1 mins late)\nArrived Bayside next stop Sutton	Northbound
R	53.4509	-6.15649	P612	07 Feb 2025	P612\n14:03 - Drogheda to Grand Canal Dock (0 mins late)\nArrived Malahide next stop Dublin Connolly	To Grand Canal Dock
R	53.5201	-6.1439	D818	07 Feb 2025	D818\n14:07 - Dublin Connolly to Drogheda (1 mins late)\nDeparted Rush and Lusk next stop Skerries	Northbound
R	53.523	-7.34608	A906	07 Feb 2025	A906\n13:05 - Dublin Connolly to Sligo (4 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.6888	-7.60299	A909	07 Feb 2025	A909\n13:05 - Sligo to Dublin Connolly (2 mins late)\nArrived Edgeworthstown next stop Mullingar	Southbound
R	53.712	-6.33538	A115	07 Feb 2025	A115\n13:00 - Belfast to Dublin Connolly (0 mins late)\nDeparted Drogheda next stop Dublin Connolly	Southbound
R	53.712	-6.33538	A116	07 Feb 2025	A116\n13:50 - Dublin Connolly to Belfast (2 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	54.0007	-6.41291	A114	07 Feb 2025	A114\n12:50 - Dublin Connolly to Belfast (5 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.1855	-6.80807	D410	07 Feb 2025	D410\n13:30 - Grand Canal Dock to Newbridge(1 mins late)\nTERMINATED Newbridge at 14:38	Southbound
T	53.3531	-6.24591	P753	07 Feb 2025	P753\n13:48 - Maynooth to Dublin Connolly(2 mins late)\nTERMINATED Dublin Connolly at 14:33	Southbound
T	53.4509	-6.15649	E823	07 Feb 2025	E823\n13:25 - Bray to Malahide(1 mins late)\nTERMINATED Malahide at 14:39	Northbound
