R	53.3531	-6.24591	D814	09 Feb 2024	D814\n15:27 - Dublin Connolly to Drogheda (-57 mins late)\nDeparted Dublin Connolly next stop Malahide	Northbound
R	53.3629	-6.22753	E235	09 Feb 2024	E235\n14:23 - Howth to Bray (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	D917	09 Feb 2024	D917\n13:47 - Dublin Connolly to Maynooth (24 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.373	-6.20442	E926	09 Feb 2024	E926\n13:55 - Bray to Howth (0 mins late)\nArrived Killester next stop Harmonstown	Northbound
R	53.3815	-6.17699	E118	09 Feb 2024	E118\n14:32 - Malahide to Greystones (3 mins late)\nDeparted Raheny next stop Harmonstown	Southbound
R	53.3815	-6.17699	E824	09 Feb 2024	E824\n13:34 - Greystones to Malahide (4 mins late)\nDeparted Raheny next stop Kilbarrack	Northbound
R	53.3831	-6.4242	D918	09 Feb 2024	D918\n14:17 - Dublin Connolly to Maynooth (3 mins late)\nDeparted Clonsilla next stop Leixlip (Confey)	Northbound
R	53.3909	-6.15672	E848	09 Feb 2024	E848\n22:34 - Greystones to Malahide (0 mins late)\nDeparted Howth Junction next stop Clongriffin	Northbound
R	53.3917	-6.13678	E236	09 Feb 2024	E236\n14:43 - Howth to Bray (0 mins late)\nDeparted Bayside next stop Howth Junction	Southbound
R	53.392	-6.11448	E925	09 Feb 2024	E925\n13:35 - Bray to Howth (5 mins late)\nDeparted Sutton next stop Howth	Northbound
R	53.4273	-7.93683	A706	09 Feb 2024	A706\n13:30 - Dublin Heuston to Galway (1 mins late)\nArrived Athlone next stop Ballinasloe	To Galway
R	53.4855	-6.15134	D812	09 Feb 2024	D812\n14:20 - Dublin Connolly to Drogheda (-1 mins late)\nArrived Donabate next stop Rush and Lusk	Northbound
R	53.5201	-6.1439	P710	09 Feb 2024	P710\n14:20 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Rush and Lusk next stop Donabate	Southbound
R	53.6888	-7.60299	A906	09 Feb 2024	A906\n13:00 - Dublin Connolly to Sligo (6 mins late)\nDeparted Edgeworthstown next stop Longford	Northbound
R	53.6888	-7.60299	A909	09 Feb 2024	A909\n13:05 - Sligo to Dublin Connolly (5 mins late)\nDeparted Edgeworthstown next stop Mullingar	Southbound
R	53.7955	-9.50885	A807	09 Feb 2024	A807\n13:10 - Westport to Dublin Heuston (0 mins late)\nDeparted Westport next stop Castlebar	To Dublin Heuston
R	54.0007	-6.41291	A128	09 Feb 2024	A128\n13:20 - Dublin Connolly to Belfast (8 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	53.3531	-6.24591	A127	09 Feb 2024	A127\n12:35 - Belfast to Dublin Connolly(1 mins late)\nTERMINATED Dublin Connolly at 14:43	Southbound
T	53.3831	-6.4242	P317	09 Feb 2024	P317\n14:37 - M3 Parkway to Clonsilla(-1 mins late)\nTERMINATED Clonsilla at 14:47	Southbound
T	53.712	-6.33538	D811	09 Feb 2024	D811\n13:50 - Dublin Connolly to Drogheda(4 mins late)\nTERMINATED Drogheda at 14:49	Northbound
